no,start_lon,start_lat,end_lon,end_lat
1,121.5299,25.043106,121.5307,25.042894
2,121.5307,25.042894,121.5321,25.042587
3,121.5321,25.042587,121.5323,25.042443
4,121.5323,25.042443,121.5328,25.042313
5,121.5298,25.042611,121.5306,25.042403
6,121.5306,25.042403,121.5319,25.042051
7,121.5297,25.042171,121.5305,25.041992
8,121.5305,25.041992,121.5317,25.041706
9,121.5317,25.041706,121.5322,25.041697
10,121.5322,25.04157,121.5328,25.041577
11,121.5296,25.041803,121.5304,25.041611
12,121.5304,25.041611,121.5315,25.041345
13,121.5315,25.041345,121.5322,25.041366
14,121.5322,25.041366,121.5328,25.041312
15,121.5294,25.041358,121.5302,25.041147
16,121.5302,25.041147,121.5316,25.04082
17,121.5316,25.04082,121.532,25.040817
18,121.532,25.040817,121.5328,25.040766
19.1,121.532,25.040817,121.532,25.040622
19.2,121.532,25.040622,121.5328,25.040597
20,121.5293,25.040805,121.5301,25.040654
21,121.5301,25.040654,121.5311,25.040374
22,121.5311,25.040374,121.5316,25.040273
23,121.5316,25.040273,121.5323,25.040192
24,121.5323,25.040192,121.5328,25.040182
25,121.5291,25.040315,121.5299,25.040122
26,121.5299,25.040122,121.5309,25.039863
27,121.531,25.040124,121.5316,25.04002
28,121.529,25.039863,121.5298,25.039661
29,121.5298,25.039661,121.5303,25.039519
30,121.5303,25.039519,121.531,25.03965
31,121.531,25.03965,121.5317,25.039828
32,121.5317,25.039828,121.5322,25.03992
33,121.5289,25.039456,121.5294,25.039328
34,121.5287,25.039037,121.5294,25.038978
35,121.5294,25.038978,121.5304,25.039163
36,121.5304,25.039163,121.5311,25.039303
37.1,121.5311,25.039303,121.5314834,25.0393927
37.2,121.5314834,25.0393927,121.5315373,25.03909327
37.3,121.5315373,25.03909327,121.5316863,25.03908303
38,121.5316863,25.03908303,121.5322021,25.03904884
39,121.5322,25.039049,121.5327,25.039053
40,121.5286,25.038665,121.5287,25.038636
41,121.5287,25.038636,121.5295,25.038631
42,121.5307,25.038862,121.5311,25.038909
43,121.5311,25.038909,121.5316,25.038872
44,121.5288,25.038391,121.5284,25.038411
45,121.5294,25.038387,121.5288,25.038391
46,121.5306,25.038354,121.5294,25.038387
47,121.5316239,25.03832873,121.5306,25.038354
48,121.5319,25.038317,121.5316239,25.03832873
49,121.5327,25.038268,121.5319,25.038317
50,121.5298,25.042611,121.5299,25.043106
51,121.5297,25.042171,121.5298,25.042611
52,121.5296,25.041803,121.5297,25.042171
53,121.5294,25.041358,121.5296,25.041803
54,121.5293,25.040805,121.5294,25.041358
55,121.5291,25.040315,121.5293,25.040805
56,121.529,25.039863,121.5291,25.040315
57,121.5289,25.039456,121.529,25.039863
58,121.5287,25.039037,121.5289,25.039456
59,121.5286,25.038665,121.5287,25.039037
60,121.5284,25.038411,121.5286,25.038665
61,121.5287,25.038636,121.5288,25.038391
62,121.5307,25.042894,121.5306,25.042403
63,121.5306,25.042403,121.5305,25.041992
64,121.5305,25.041992,121.5304,25.041611
65,121.5304,25.041611,121.5302,25.041147
66,121.5302,25.041147,121.5301,25.040654
67,121.5301,25.040654,121.5299,25.040122
68,121.5299,25.040122,121.5298,25.039661
69.1,121.5298,25.039661,121.5297,25.03939
69.2,121.5297,25.03939,121.5294,25.039328
70,121.5294,25.039328,121.5294,25.038978
71,121.5294,25.038978,121.5295,25.038631
72,121.5295,25.038631,121.5294,25.038387
73,121.5303,25.039519,121.5304,25.039163
74,121.5304,25.039163,121.5307,25.038862
75,121.5307,25.038862,121.5306,25.038354
76,121.5311,25.040374,121.531,25.040124
77,121.531,25.040124,121.5309,25.039863
78,121.5309,25.039863,121.531,25.03965
79,121.531,25.03965,121.5311,25.039303
80,121.5311,25.039303,121.5311,25.038909
81,121.5321,25.042587,121.5319,25.042051
82,121.5319,25.042051,121.5317,25.041706
83,121.5317,25.041706,121.5315,25.041345
84,121.5315,25.041345,121.5315,25.041001
85,121.5316,25.04082,121.5316,25.040273
86,121.5316,25.040273,121.5316,25.04002
87,121.5316,25.04002,121.5317,25.039828
88,121.5316,25.039797,121.5317,25.039083
89,121.5317,25.039083,121.5316,25.038872
90,121.5316,25.038872,121.5316239,25.03832873
91,121.5323,25.042443,121.5322,25.041697
92,121.5322,25.041697,121.5322,25.04157
93,121.5322,25.04157,121.5322,25.041366
94,121.5323,25.040192,121.5322,25.03992
95,121.5322,25.03992,121.5322,25.039049
96.1,121.5322,25.039049,121.5321,25.038735
96.2,121.5321,25.038735,121.5319,25.038671
96.3,121.5319,25.038671,121.5319,25.038317
97,121.5328,25.042313,121.5328,25.041577
98,121.5328,25.041577,121.5328,25.041312
99,121.5328,25.041312,121.5328,25.041024
100,121.5328,25.040766,121.5328,25.040597
101,121.5328,25.040597,121.5328,25.040182
102,121.5328,25.040182,121.5327,25.039053
103,121.5327,25.039053,121.5327,25.038268
104,121.5315,25.041001,121.5328,25.041024
105,121.5315,25.041001,121.5316,25.04082
106,121.5328,25.041024,121.5328,25.040766
